symbol	hgnc_id	chr	diagnostic_category	coding_sequence_variant	frameshift_variant	inframe_deletion	inframe_insertion	initiator_codon_variant	missense_variant	splice_acceptor_variant	splice_donor_variant	stop_gained	stop_lost	stop_retained_variant	synonymous_variant	PTV_enrichment_p	power_median	s_het	observed_full	expected_full	enrich_all_p_full	enrich_mis_p_full	cluster_p_full	denovoWEST_p_full	observed_ud	expected_ud	enrich_all_p_ud	enrich_mis_p_ud	cluster_p_ud	denovoWEST_p_ud	denovoWEST_p_ud_synmod	gnomad_oe_syn	significant
PRDM12	13997	9	none	0	0	0	0	0	3	0	0	0	0	0	0	0.083393075	0.378052271	0.042149681	0.696102854	0.405803424	0.226251761	0.189911453	0.178776821	0.148804289	0.105025454	0.317346692	1	1	NA	1	NA	NA	FALSE
C19orf66	25649	19	none	0	0	0	0	0	0	0	0	1	0	0	0	0.003232593	0.342571922	0.293400528	0.8258229	0.369991603	0.148920004	1	NA	0.148920004	0.8258229	0.289341106	0.104483329	1	NA	0.104483329	NA	NA	FALSE
AOAH	548	7	none	0	0	0	0	0	2	0	0	0	0	0	0	0.166441273	0.777245417	NA	0.5130026	0.275601028	0.176005685	0.049313424	0.68957031	0.148984574	0.5130026	0.215525719	0.12314015	0.027503684	0.68963031	0.094173676	NA	NA	FALSE
SGMS1	29799	10	none	0	1	0	0	0	0	0	0	0	0	0	0	0.0074312	0.476592845	0.076652724	0.647014278	0.289083164	0.149025698	1	NA	0.149025698	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
RPRML	32422	17	none	0	0	0	0	0	1	0	0	0	0	0	0	0.020822283	0.040803986	NA	0.2350027	0.083772388	0.149028638	0.135260628	NA	0.149028638	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
HUNK	13326	21	none	0	0	0	0	0	4	0	0	0	0	0	0	0.170450999	0.795827937	0.104634512	0.762444763	0.407624566	0.149163658	0.052510663	0.744385256	0.149163658	0.370311867	0.318770863	0.349763369	0.240194909	0.279184721	0.248263974	NA	NA	FALSE
STOML1	14560	15	none	0	0	0	0	0	1	0	0	1	0	0	0	0.005022279	0.314401484	0.004982022	0.4428776	0.21250488	0.149168037	0.273013812	NA	0.149168037	0.2560145	0.166183223	0.267691135	0.20782983	NA	0.267691135	NA	NA	FALSE
SARS2	17697	19	none	0	0	0	0	0	2	0	1	0	0	0	0	0.013365188	0.739503182	0.015569371	0.757407136	0.406418934	0.149169363	0.321664951	0.391430609	0.149169363	0.757407136	0.317828033	0.092000646	0.22464592	0.391767608	0.092000646	NA	NA	FALSE
THUMPD1	23807	16	none	0	0	0	0	0	1	0	0	1	0	0	0	0.00420636	0.438063358	0.006022221	0.560883797	0.254141599	0.149178784	1	NA	0.149178784	0.560883797	0.198744	0.104990006	1	NA	0.104990006	NA	NA	FALSE
MYORG	19918	9	none	0	0	1	0	0	2	0	0	1	0	0	0	0.010552585	0.636712848	0.008533667	0.848975327	0.489855152	0.149274374	1	0.715451285	0.149274374	0.541099697	0.383076886	0.255930256	1	NA	0.255930256	NA	NA	FALSE
KNDC1	29374	10	none	0	1	0	0	0	5	0	0	0	0	0	3	0.07450699	0.995916811	0.0224895	1.370765881	0.873933815	0.149374671	0.349652777	0.883147117	0.149374671	1.151097972	0.683434365	0.137447057	0.439048627	0.941779058	0.137447057	NA	NA	FALSE
POR	9208	7	none	0	0	0	0	0	4	0	0	0	0	0	1	0.187596429	0.862540677	0.008510006	0.707582716	0.524947074	0.149449233	0.060835033	0.763858236	0.149449233	0.707582716	0.409683898	0.113817561	0.037931103	0.762856237	0.113817561	NA	NA	FALSE
KIRREL1	15734	1	none	0	0	0	0	0	2	1	0	0	0	0	2	0.022217354	0.819759618	0.125177946	0.987708839	0.553207549	0.149566185	0.257336179	0.438882561	0.149566185	0.987708839	0.432619775	0.085434858	0.165240554	0.438528561	0.085434858	NA	NA	FALSE
EGLN2	14660	19	none	0	0	0	0	0	4	0	0	0	0	0	1	0.101730679	0.339039798	0.06175176	0.569903201	0.271346421	0.149594055	0.068105403	0.508987491	0.149594055	0.346098001	0.212198528	0.220951412	0.142775201	0.192434808	0.126233011	NA	NA	FALSE
PTPN3	9655	9	none	0	1	0	0	0	2	0	0	0	0	0	0	0.044612942	0.978544331	0.023969935	1.199171978	0.666052971	0.149608829	0.317950419	0.68974531	0.149608829	1.199171978	0.520867234	0.086211235	0.218294013	0.689354311	0.086211235	NA	NA	FALSE
ZCWPW1	23486	7	none	0	0	0	0	0	3	0	0	0	0	0	1	0.18451032	0.851993632	0.006743089	0.450018893	0.255501675	0.196293674	0.055939957	0.611794388	0.149723281	0.450018893	0.199807607	0.140475462	0.032642318	0.611972388	0.098147329	NA	NA	FALSE
SLC29A1	11003	6	none	0	0	0	0	0	1	0	0	1	0	0	1	0.005849682	0.373805093	0.105167771	0.5291279	0.252036177	0.149745669	0.40487449	NA	0.149745669	0.001	0.197097517	1	1	NA	1	NA	NA	FALSE
CCDC42	26528	17	none	0	0	0	0	0	0	1	0	0	0	0	0	0.004192332	0.43678617	0.003000531	0.400376939	0.182874175	0.149781391	1	NA	0.149781391	0.400376939	0.143011397	0.107397911	1	NA	0.107397911	NA	NA	FALSE
H1FX	4722	3	none	0	0	0	0	0	2	0	0	0	0	0	0	0.038128938	0.052576352	NA	0.262312164	0.118150068	0.149825804	0.11835093	0.301568698	0.149825804	0.152960133	0.092395803	0.227876521	0.198328947	NA	0.227876521	NA	NA	FALSE
ACRBP	17195	12	none	0	0	0	0	0	3	0	0	1	0	0	0	0.012985512	0.727543127	0.008461948	0.549793663	0.275777819	0.164865979	0.152437341	0.224749775	0.149846463	0.383031093	0.215663973	0.202710836	0.31861523	0.287585712	0.202710836	NA	NA	FALSE
DACT3	30745	19	none	0	1	0	0	0	2	0	0	0	0	0	0	0.009170371	0.572502109	NA	0.877273627	0.514926905	0.149893138	1	0.275144725	0.149893138	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
SMURF2	16809	17	none	0	0	0	0	0	2	1	0	0	0	0	0	0.034754045	0.945668728	0.191679316	1.288034683	0.722827418	0.177670048	0.326339659	0.105050895	0.14992073	0.492462344	0.565266029	1	0.239849812	0.104985895	0.117888457	NA	NA	FALSE
CSNK1G1	2454	15	none	0	0	0	0	0	2	0	0	0	0	0	0	0.147321885	0.672416022	0.367226765	0.9825365	0.631811787	0.244011862	0.120396313	0.284753715	0.149924185	0.9825365	0.494089918	0.168247882	0.077957317	0.285398715	0.106916328	NA	NA	FALSE
CPNE1	2314	20	none	0	0	0	0	0	3	0	0	0	0	0	0	0.150941174	0.69430181	0.005231363	0.583859472	0.285388589	0.150132573	0.06944632	0.687944312	0.150132573	0.583859472	0.223179794	0.100213174	0.040085695	0.687012313	0.100213174	NA	NA	FALSE
OR52J3	14799	11	none	0	0	0	0	0	2	0	0	0	0	0	1	0.069217175	0.256248371	0.019146824	0.197167993	0.100942315	0.150138831	0.127342232	0.974520025	0.150138831	0.196167993	0.078938983	0.135535318	0.086520729	0.974335026	0.135535318	NA	NA	FALSE
KIAA0319	21580	6	none	0	0	0	0	0	2	0	0	0	0	0	0	0.252716501	0.947048837	0.008927762	0.203109451	0.4438238	1	1	0.034380966	0.15025349	0.203109451	0.347079414	1	1	0.034508965	0.150684644	NA	NA	FALSE
LPAR1	3166	9	none	0	0	0	0	0	2	0	0	0	0	0	1	0.074200656	0.298333638	0.012914868	0.270563284	0.208729457	0.333753157	0.280797835	0.122440878	0.150254055	0.270563284	0.163230764	0.260761402	0.216356172	0.121751878	0.122136236	NA	NA	FALSE
ARMH3	25788	10	none	0	0	0	0	0	1	0	0	1	0	0	0	0.0201505	0.882277209	0.018414885	0.7426313	0.384626881	0.150344021	1	NA	0.150344021	0.7426313	0.300786196	0.093833351	0.401676256	NA	0.093833351	NA	NA	FALSE
FHOD1	17905	16	none	0	0	0	0	0	1	0	0	2	0	0	0	0.003729384	0.959282376	0.003968134	1.119837697	0.668777668	0.150502801	1	NA	0.150502801	1.119837697	0.522998003	0.079861333	1	NA	0.079861333	NA	NA	FALSE
ZNF24	13032	18	none	0	0	0	0	0	0	0	0	1	0	0	0	0.007358204	0.47217696	0.26872816	0.8569589	0.325414813	0.150518283	1	NA	0.150518283	0.8569589	0.254481132	0.113521461	1	NA	0.113521461	NA	NA	FALSE
FABP4	3559	8	none	0	0	0	0	0	1	0	0	0	0	0	0	0.038814771	0.055460271	0.001606173	0.160923631	0.06191158	0.150532423	0.109008224	NA	0.150532423	0.160923631	0.048416139	0.119042843	0.085540765	NA	0.119042843	NA	NA	FALSE
PUSL1	26914	1	none	0	0	0	0	0	2	0	0	0	0	0	3	0.082413194	0.369507049	0.001671214	0.199167993	0.166250608	0.306808785	0.293595482	0.117413883	0.150560803	0.199167993	0.130011423	0.225922942	0.21221811	0.117724882	0.117160568	NA	NA	FALSE
OR5M10	15290	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.053343435	0.135686227	0.00732199	0.155722841	0.07399455	0.150745275	0.107762837	NA	0.150745275	0.155722841	0.057865273	0.108683274	0.073605562	NA	0.108683274	NA	NA	FALSE
ZBTB1	20259	14	none	0	0	0	0	0	1	0	0	1	0	0	1	0.01323752	0.73554195	0.281436955	0.996924755	0.478813582	0.15082439	1	NA	0.15082439	0.8701869	0.37444215	0.157695739	1	NA	0.157695739	NA	NA	FALSE
ZNF451	21091	6	none	0	1	0	0	0	0	0	0	1	0	0	1	0.003242351	0.944398307	0.010754767	1.130323978	0.657835251	0.150941156	1	NA	0.150941156	0.001	0.514440807	1	1	NA	1	NA	NA	FALSE
ZNF362	18079	1	none	0	0	0	0	0	3	0	0	0	0	0	1	0.10327748	0.351048855	0.220613982	1.045991859	0.511687389	0.150999165	0.091524445	0.556006444	0.150999165	1.045991859	0.400150149	0.09783437	0.055901015	0.557942442	0.09783437	NA	NA	FALSE
SNIP1	30587	1	none	0	0	0	0	0	3	0	0	0	0	0	0	0.125773487	0.524702121	0.145280804	0.605311897	0.287220179	0.151008457	0.044219619	0.90963809	0.151008457	0.605311897	0.224612135	0.106614421	0.023945633	0.90953109	0.105124215	NA	NA	FALSE
LRRIQ1	25708	12	none	0	1	0	0	0	4	0	0	0	0	0	0	0.091310175	0.99896004	NA	1.052387822	0.596573414	0.151025739	0.264227465	0.557194443	0.151025739	0.856219828	0.46653278	0.157748141	1	0.546654453	0.157748141	NA	NA	FALSE
RCSD1	28310	1	none	0	0	0	0	0	2	0	0	0	0	0	0	0.110403193	0.406713007	0.025531419	0.400794797	0.187868494	0.151056493	0.066632891	0.914360086	0.151056493	0.400794797	0.146917058	0.107483355	0.041970419	0.914068086	0.107483355	NA	NA	FALSE
SUZ12	17101	17	consensus	0	0	0	0	0	1	0	1	0	0	0	0	0.020747998	0.890121333	0.366382074	1.138523159	0.580877136	0.151238479	1	NA	0.151238479	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
SOHLH1	27845	9	none	0	0	0	0	0	2	0	0	0	0	0	2	0.099795317	0.324089137	NA	0.329757406	0.172714294	0.151270962	0.073782595	0.981721018	0.151270962	0.002	0.135066159	1	1	NA	1	NA	NA	FALSE
BRMS1	17262	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.093682935	0.466929281	0.014645541	0.3058949	0.220291804	0.151314636	0.009175138	NA	0.151314636	0.3058949	0.172272759	0.132234006	0.007909157	NA	0.132234006	NA	NA	FALSE
IMPDH2	6053	3	none	0	0	1	0	0	3	0	0	0	0	0	0	0.131726478	0.568157075	0.020210763	1.032841611	0.507835442	0.151426444	0.185595008	0.598239402	0.151426444	1.032841611	0.397137846	0.098886111	0.126218111	0.598411402	0.098886111	NA	NA	FALSE
DPRX	32166	19	none	0	0	0	0	0	1	0	0	0	0	0	0	0.063109695	0.20687587	NA	0.106195093	0.07524985	0.151473863	0.065592624	NA	0.151473863	0.106195093	0.058846943	0.115179987	0.045897756	NA	0.115179987	NA	NA	FALSE
FEM1B	3649	15	none	0	0	0	0	0	2	0	0	0	0	0	2	0.12447993	0.515047052	0.061056756	0.5731292	0.284227119	0.151478854	0.065245983	0.584288416	0.151478854	0.2998524	0.222271501	0.282748934	0.212708014	NA	0.282748934	NA	NA	FALSE
ZFHX2	20152	14	none	0	0	0	0	0	7	0	0	1	0	0	2	0.105251856	0.999662394	NA	1.396534111	0.887996021	0.15148338	0.188054056	0.542154458	0.15148338	1.115928007	0.694431302	0.163697499	0.33175397	0.622483378	0.163697499	NA	NA	FALSE
CUEDC2	28352	10	none	0	0	0	0	0	1	0	0	0	0	0	0	0.081428735	0.36092313	0.021439423	0.2946473	0.129606882	0.151665462	0.078857811	NA	0.151665462	0.2946473	0.10135527	0.1118819	0.054199589	NA	0.1118819	NA	NA	FALSE
ZNF512	29380	2	none	0	0	0	0	0	2	0	0	0	0	0	0	0.174635186	0.813982147	0.064394264	0.229277227	0.328583758	1	0.422380688	0.082426918	0.151715374	0.098083997	0.256959312	1	1	NA	1	NA	NA	FALSE
HEPN1	34400	11	none	0	0	0	0	0	1	0	0	0	0	0	0	0.019120019	0.032953928	0.002483687	0.098083997	0.0249889	0.151726492	0.132256637	NA	0.151726492	0.098083997	0.019541838	0.120746768	0.105005351	NA	0.120746768	NA	NA	FALSE
TTK	12401	6	none	0	0	0	0	0	4	0	0	0	0	0	1	0.228396121	0.899708368	0.019629188	0.505129796	0.34999475	0.263733921	0.089955743	0.387330613	0.151806273	0.356419336	0.273703152	0.300853977	0.14250718	0.406454594	0.222923957	NA	NA	FALSE
PRKAA1	9376	5	none	0	0	0	0	0	1	0	0	0	0	0	1	0.144268061	0.653236787	0.028778606	0.7186758	0.346795937	0.151895051	0.090565423	NA	0.151895051	0.7186758	0.271201614	0.102127599	0.060216261	NA	0.102127599	NA	NA	FALSE
PPP1R14C	14952	6	none	0	0	0	0	0	1	0	0	0	0	0	0	0.0475813	0.099695869	0.013381163	0.268924	0.106013683	0.151934103	0.102592721	NA	0.151934103	0.268924	0.082904899	0.116233778	0.076834115	NA	0.116233778	NA	NA	FALSE
SEL1L3	29108	4	none	0	0	0	0	0	2	0	0	0	0	0	1	0.281186695	0.976996763	0.041210474	0.197167993	0.549880384	1	1	0.034905965	0.152018883	0.197167993	0.430017862	1	1	0.034675965	0.151246452	NA	NA	FALSE
GTF2F1	4652	19	none	0	0	0	0	0	4	0	0	0	0	0	1	0.134463088	0.587525421	NA	0.665182027	0.354361415	0.152218833	0.074884229	0.766603233	0.152218833	0.665182027	0.277117975	0.09436857	0.040352185	0.767255233	0.09436857	NA	NA	FALSE
NAPG	7642	18	none	0	0	0	0	0	0	0	0	1	0	0	0	0.006752751	0.434315418	0.030106337	0.4627998	0.200757105	0.152250023	1	NA	0.152250023	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
FMR1	3775	X	consensus	0	0	0	0	0	2	0	0	0	0	0	1	0.125614869	0.523521934	NA	0.431404221	0.193024175	0.152350537	0.068631247	0.674768325	0.152350537	0.001	0.147018738	1	1	NA	1	NA	NA	FALSE
PLCXD2	26462	3	none	0	0	0	0	0	2	0	0	0	0	0	1	0.075291874	0.307697554	0.006690157	0.320726231	0.153479028	0.152406181	0.081789455	0.644104356	0.152406181	0.192263715	0.120023782	0.267844888	0.211708481	NA	0.267844888	NA	NA	FALSE
MORF4L1	16989	15	none	0	0	0	0	0	2	0	0	0	0	0	0	0.116413816	0.453522598	0.051016505	0.377497189	0.210084972	0.209606366	0.101207568	0.346445654	0.152545136	0.377497189	0.164290805	0.153528419	0.066131667	0.346700653	0.109489882	NA	NA	FALSE
LDLRAD3	27046	11	none	0	0	0	0	0	2	0	0	0	0	0	0	0.082604159	0.371172423	0.012561172	0.492213	0.228639176	0.152571799	0.093624726	0.612956387	0.152571799	0.492213	0.178800576	0.104326889	0.059558201	0.612679387	0.104326889	NA	NA	FALSE
BCAM	6722	19	none	0	0	0	0	0	4	0	0	0	0	0	2	0.171984524	0.802626914	0.020611042	0.546280665	0.325252394	0.178358851	0.065228813	0.537684462	0.152577292	0.545280665	0.254354116	0.116652734	0.032172788	0.537121463	0.087408611	NA	NA	FALSE
ABCC1	51	16	none	0	0	0	0	0	5	0	0	0	0	0	2	0.348917264	0.993858677	0.025299632	0.980198196	0.902411617	0.392639266	0.182195273	0.192503807	0.152579853	0.6309286	0.705704596	1	0.317444929	0.078657921	0.117109672	NA	NA	FALSE
PRKACB	9381	1	none	0	0	0	0	0	2	0	0	0	0	0	1	0.108700351	0.393392997	0.030533816	0.458866116	0.21061	0.152604303	0.068612192	0.594896405	0.152604303	0.458866116	0.164701387	0.107548056	0.04344872	0.595174405	0.107548056	NA	NA	FALSE
AGRN	329	1	none	0	1	0	0	0	8	0	0	0	0	0	3	0.109178896	0.99975375	0.02313541	1.777914993	1.21147444	0.152685734	0.257427535	0.454671545	0.152685734	1.679830996	0.947398132	0.082632802	0.165350853	0.517546482	0.082632802	NA	NA	FALSE
ZNF155	12940	19	none	0	0	0	0	0	2	0	0	0	0	0	0	0.121520487	0.492714328	0.003876039	0.326615897	0.169251748	0.152695714	0.057468987	0.942949057	0.152695714	0.2285319	0.132358377	0.180285517	0.099178861	NA	0.180285517	NA	NA	FALSE
TAF9	11542	5	none	0	0	0	0	0	0	0	0	1	0	0	0	0.001701685	0.166534993	0.004956647	0.4230272	0.194684274	0.152749708	1	NA	0.152749708	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
KIF20B	7212	10	none	0	0	0	0	0	4	0	0	0	0	0	2	0.43497664	0.999810001	0.008359846	0.394335987	0.866277268	1	1	0.035137965	0.152796495	0.29525199	0.677446786	1	1	0.021928978	0.105696497	NA	NA	FALSE
AMBRA1	25990	11	none	0	0	0	0	0	4	0	1	0	0	0	1	0.044141921	0.977578785	0.058293099	1.296083929	0.786025874	0.152856364	0.180824178	0.707719292	0.152856364	0.60490069	0.614688532	1	0.280218141	0.427901572	0.374231822	NA	NA	FALSE
MMP21	14357	10	none	0	0	0	0	0	2	0	0	1	0	0	0	0.01005782	0.614875597	0.003543051	0.791802897	0.398758253	0.152954769	0.318494323	0.377111623	0.152954769	0.388890297	0.311837222	0.316541821	0.23740445	0.376547623	0.305254042	NA	NA	FALSE
TMEM88B	37099	1	none	0	0	1	0	0	0	0	0	0	0	0	1	0.03172607	0.029800672	NA	0.199398825	0.091255436	0.15297162	1	NA	0.15297162	0.001	0.071363643	1	1	NA	1	NA	NA	FALSE
SGSH	10818	17	none	0	0	0	0	0	3	0	0	0	0	0	0	0.120452368	0.484578941	0.009501171	0.657336697	0.35478968	0.153023171	0.080844249	0.794099206	0.153023171	0.657336697	0.277452886	0.094201847	0.04361398	0.794373206	0.094201847	NA	NA	FALSE
RWDD4	23750	4	none	0	0	0	0	0	1	0	0	0	0	0	0	0.060234801	0.184780427	0.028447464	0.2345824	0.088954944	0.153079192	0.098677155	NA	0.153079192	0.2345824	0.069564611	0.119343263	0.075723142	NA	0.119343263	NA	NA	FALSE
GRAMD2B	24911	5	none	0	0	0	0	0	0	0	0	1	0	0	0	0.008255223	0.524235183	0.003143151	0.5202697	0.232889959	0.153133645	1	NA	0.153133645	0.5202697	0.182124777	0.111569065	1	NA	0.111569065	NA	NA	FALSE
ISG15	4053	1	none	0	0	0	0	0	1	0	0	0	0	0	0	0.03508927	0.040830594	0.008602742	0.152960133	0.070602182	0.153225879	0.115825243	NA	0.153225879	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
RPS29	10419	14	none	0	0	0	0	0	1	0	0	0	0	0	1	0.026641342	0.074035713	0.211486611	0.762977	0.18462008	0.153238027	0.123883394	NA	0.153238027	0.761977	0.144376731	0.122164726	0.09790958	NA	0.122164726	NA	NA	FALSE
FAM98C	27119	19	none	0	1	0	0	0	0	0	0	0	0	0	2	0.006031818	0.386388669	NA	0.649014278	0.298414839	0.153318917	1	NA	0.153318917	0.649014278	0.233366592	0.106055299	1	NA	0.106055299	NA	NA	FALSE
C2orf74	34439	2	none	0	0	0	0	0	1	0	0	0	0	0	0	0.05782436	0.166941213	NA	0.123669428	0.064215732	0.153326345	0.091556739	NA	0.153326345	0.123669428	0.050218034	0.119643928	0.069823091	NA	0.119643928	NA	NA	FALSE
TMEM8B	21427	9	none	0	1	0	0	0	1	0	0	0	0	0	1	0.00730562	0.468976006	0.014089994	0.746098275	0.390180834	0.153452111	1	NA	0.153452111	0.098083997	0.305129503	1	1	NA	1	NA	NA	FALSE
GIT1	4272	17	none	0	0	0	0	0	3	0	0	0	0	0	0	0.210288185	0.845830486	0.137659553	1.2419691	0.697439603	0.153513306	0.079561752	0.678588321	0.153513306	0.5233794	0.545412231	1	0.338255987	0.241546758	0.286345709	NA	NA	FALSE
MAN2A1	6824	5	none	0	0	0	0	0	4	0	0	0	0	0	2	0.292536705	0.983914011	0.025433764	0.857172512	0.618083872	0.273473891	0.070395991	0.502283498	0.153535078	0.857172512	0.483354404	0.181413241	0.0350568	0.501279499	0.088593407	NA	NA	FALSE
RAPGEF5	16862	7	none	0	0	0	0	0	3	1	0	0	0	0	1	0.025635903	0.870134345	0.089559636	0.964583136	0.545190904	0.153612572	0.222497038	0.837005163	0.153612572	0.964583136	0.426350592	0.088990016	0.139619483	0.837358163	0.088990016	NA	NA	FALSE
ZNF215	13007	11	none	0	0	0	0	0	2	0	0	0	0	0	0	0.146459017	0.6670621	NA	0.196167993	0.219043213	1	0.247758291	0.142826857	0.153627959	0.196167993	0.171296335	0.314458599	0.179442041	0.143452857	0.119946304	NA	NA	FALSE
TMEM123	30138	11	none	0	0	0	1	0	0	0	0	0	0	0	0	0.054960218	0.146658394	0.075291417	0.198398825	0.087276694	0.153706967	1	NA	0.153706967	0.198398825	0.068252185	0.117773236	1	NA	0.117773236	NA	NA	FALSE
KCNK6	6281	19	none	0	1	0	0	0	0	0	0	0	0	0	2	0.002655548	0.279482027	0.001582779	0.649014278	0.278544725	0.153764081	1	NA	0.153764081	0.649014278	0.217827751	0.111649196	1	NA	0.111649196	NA	NA	FALSE
ZNF558	26422	19	none	0	0	0	0	0	1	0	0	0	0	0	0	0.087797365	0.416373044	0.011605803	0.2940489	0.140069696	0.154037769	0.081683525	NA	0.154037769	0.2940489	0.109537406	0.110811584	0.053148757	NA	0.110811584	NA	NA	FALSE
SPCS1	23401	3	none	0	0	0	0	0	1	0	0	0	0	0	2	0.043096564	0.075386794	0.024398483	0.3013068	0.109376505	0.154145948	0.119320355	NA	0.154145948	0.3013068	0.085534695	0.118672221	0.090929111	NA	0.118672221	NA	NA	FALSE
IKZF5	14283	10	none	0	0	0	0	0	0	0	0	1	0	0	0	0.004443103	0.459192723	0.054738034	0.4627998	0.208124546	0.154149891	1	NA	0.154149891	0.4627998	0.16275771	0.109785061	1	NA	0.109785061	NA	NA	FALSE
CBR1	1548	21	none	0	0	0	0	0	0	0	0	1	0	0	0	0.001946432	0.196248937	0.0073554	0.4430157	0.218613213	0.154152238	1	NA	0.154152238	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
HYKK	34403	15	none	0	0	0	0	0	2	0	0	0	0	0	0	0.091372065	0.447207222	NA	0.324158997	0.156362254	0.15416613	0.074485314	0.619263381	0.15416613	0.324158997	0.122278525	0.111486319	0.048304612	0.61988038	0.111486319	NA	NA	FALSE
PPP1R9B	9298	17	none	0	0	0	0	0	3	0	0	0	0	0	0	0.234610651	0.914248515	0.414158838	0.743760578	0.819472347	1	0.323043622	0.11005089	0.154177909	0.743760578	0.640844368	0.349438441	0.200433172	0.11025189	0.10634202	NA	NA	FALSE
DIAPH1	2876	5	discordant	0	0	0	0	0	4	0	1	0	0	0	1	0.051841915	0.989029952	0.031219867	1.110262718	0.647118062	0.154397557	0.185999151	0.26035374	0.154397557	1.012178721	0.506059743	0.116012062	0.160834097	0.639183361	0.116012062	NA	NA	FALSE
SRSF3	10785	6	none	0	0	0	0	0	1	0	0	0	0	0	2	0.068978299	0.254265524	0.22001524	0.8334774	0.4217186	0.154413806	0.124719217	NA	0.154413806	0.002	0.32979269	1	1	NA	1	NA	NA	FALSE
CCDC154	34454	16	none	0	0	0	0	0	4	0	0	0	0	0	1	0.180907942	0.838894454	NA	0.450047652	0.286386414	0.197444737	0.051208075	0.695914304	0.15446208	0.449047652	0.223960114	0.135498237	0.024221697	0.696723303	0.085760784	NA	NA	FALSE
UBE2O	29554	17	none	0	0	0	0	0	4	0	0	0	0	0	4	0.288828322	0.98189136	0.276119321	1.760554478	1.472010335	0.335393749	0.179652788	0.198591801	0.154599229	1.757554478	1.151142605	0.204271193	0.092236438	0.198296802	0.091476384	NA	NA	FALSE
PLIN2	248	9	none	0	0	0	0	0	2	0	0	0	0	0	0	0.100574562	0.330097439	0.006401354	0.41869121	0.203160788	0.159490754	0.083093577	0.429462571	0.154625929	0.41869121	0.158875949	0.112791979	0.05280374	0.42988857	0.108627317	NA	NA	FALSE
MTBP	7417	8	none	0	0	0	0	0	1	1	0	0	0	0	1	0.028656352	0.902779591	0.005254053	0.702725639	0.363078669	0.154660045	0.316802975	NA	0.154660045	0.702725639	0.283935047	0.099989473	0.231220171	NA	0.099989473	NA	NA	FALSE
MSL1	27905	17	none	0	0	0	0	0	2	0	0	1	0	0	0	0.005470395	0.347013833	0.10603481	0.517442193	0.272570155	0.15475289	0.22219514	0.79030221	0.15475289	0.517442193	0.213155513	0.108072051	0.142651293	0.790532209	0.108072051	NA	NA	FALSE
RBM10	9896	X	discordant	0	0	0	0	0	1	1	0	1	0	0	1	0.001672146	0.8230298	0.391630325	1.866356225	1.01791368	0.154821626	1	NA	0.154821626	1.866356225	0.775303846	0.085377081	1	NA	0.085377081	NA	NA	FALSE
PKP1	9023	1	none	0	0	0	0	0	2	0	0	0	0	0	0	0.178771543	0.830714319	0.021842128	0.196167993	0.424670216	1	1	0.035758964	0.15487044	0.196167993	0.332100915	1	1	0.035598964	0.154337129	NA	NA	FALSE
IMPAD1	26019	8	none	0	0	0	0	0	0	0	0	1	0	0	0	0.00316004	0.334899171	0.087844988	0.4230272	0.204548582	0.154877988	1	NA	0.154877988	0.4230272	0.159961232	0.107929213	1	NA	0.107929213	NA	NA	FALSE
TMEM268	24513	9	none	0	0	0	0	0	2	0	0	0	0	0	1	0.089682544	0.432676143	0.006911667	0.351934897	0.158649279	0.155021698	0.07304178	0.958324042	0.155021698	0.350934897	0.124067026	0.113620847	0.047133297	0.958381042	0.113620847	NA	NA	FALSE
RNF41	18401	12	none	0	0	0	0	0	2	0	0	0	0	0	0	0.082595692	0.371098589	0.051935153	1.121887328	0.509181281	0.155077687	0.129561748	NA	0.155077687	0.408777528	0.39819032	0.425153919	0.388122292	NA	0.425153919	NA	NA	FALSE
UBE2K	4914	4	none	0	0	0	0	0	1	0	0	0	0	0	0	0.065285978	0.224126021	0.309291097	0.825724	0.335893948	0.155118408	0.098632151	NA	0.155118408	0.825724	0.262676032	0.118320247	0.073391997	NA	0.118320247	NA	NA	FALSE
SPATA16	29935	3	none	0	0	0	0	0	2	0	0	0	0	0	1	0.142711355	0.643215743	0.011082058	0.40273859	0.23237543	0.205489116	0.083260978	0.430654569	0.155195928	0.40273859	0.181722405	0.149283233	0.05175874	0.430732569	0.107088507	NA	NA	FALSE
AKAP10	368	17	none	0	0	0	0	0	2	0	0	1	0	0	0	0.017824516	0.845771002	0.063491495	0.354098497	0.333758802	0.378871967	0.221704847	0.161810838	0.155254256	0.2560145	0.261006304	1	0.300885471	NA	1	NA	NA	FALSE
OR7C2	8374	19	none	0	0	0	0	0	1	0	0	0	0	0	0	0.052017891	0.126964325	0.019379223	0.164311417	0.074958322	0.155277133	0.115873114	NA	0.155277133	NA	NA	NA	NA	NA	NA	NA	NA	FALSE
