Gene ID,Gene Symbol,Gene Name,Case PTV,Ctrl PTV,Case mis3,Ctrl mis3,Case mis2,Ctrl mis2,P ca/co (Class 1),P ca/co (Class 2),P ca/co (comb),De novo PTV,De novo mis3,De novo mis2,P de novo,P meta,Q meta,OR (PTV),OR (Class I),OR (Class II)
ENSG00000145217,SLC26A1,"Solute carrier family 26 (anion exchanger), member 1",6,9,0,0,0,0,0.0718,NA,0.0718,NA,NA,NA,NA,0.0718,1,2.68 (0.784-8.42),2.68 (0.784-8.42),NA
ENSG00000176136,MC5R,Melanocortin 5 receptor,7,10,0,0,0,0,0.0718,NA,0.0718,NA,NA,NA,NA,0.0718,1,2.81 (0.908-8.18),2.81 (0.908-8.18),NA
ENSG00000198846,TOX,Thymocyte selection-associated high mobility group box,2,3,0,0,0,0,0.0721,NA,0.0721,NA,NA,NA,NA,0.0721,1,2.68 (0.223-23.4),2.68 (0.223-23.4),NA
ENSG00000099953,MMP11,Matrix metallopeptidase 11 (stromelysin 3),10,18,0,0,0,0,0.0722,NA,0.0722,NA,NA,NA,NA,0.0722,1,2.23 (0.92-5.1),2.23 (0.92-5.1),NA
ENSG00000258890,CEP95,Centrosomal protein 95kDa,27,69,0,0,0,0,0.0724,NA,0.0724,NA,NA,NA,NA,0.0724,1,1.57 (0.968-2.49),1.57 (0.968-2.49),NA
ENSG00000180938,ZNF572,Zinc finger protein 572,11,21,0,0,0,0,0.0724,NA,0.0724,NA,NA,NA,NA,0.0724,1,2.1 (0.915-4.56),2.1 (0.915-4.56),NA
ENSG00000166800,LDHAL6A,Lactate dehydrogenase A-like 6A,4,45,0,0,0,0,0.0725,NA,0.0725,NA,NA,NA,NA,0.0725,1,0.357 (0.0931-0.978),0.357 (0.0931-0.978),NA
ENSG00000105321,CCDC9,Coiled-coil domain containing 9,10,16,0,0,0,0,0.0725,NA,0.0725,NA,NA,NA,NA,0.0725,1,2.51 (1.02-5.88),2.51 (1.02-5.88),NA
ENSG00000152592,DMP1,Dentin matrix acidic phosphoprotein 1,2,29,0,0,0,0,0.0726,NA,0.0726,NA,NA,NA,NA,0.0726,1,0.277 (0.032-1.09),0.277 (0.032-1.09),NA
ENSG00000176922,OR51S1,"Olfactory receptor, family 51, subfamily S, member 1",7,13,0,0,0,0,0.0726,NA,0.0726,NA,NA,NA,NA,0.0726,1,2.16 (0.73-5.83),2.16 (0.73-5.83),NA
ENSG00000107902,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,1,23,0,0,0,0,0.0727,NA,0.0727,NA,NA,NA,NA,0.0727,1,0.174 (0.00424-1.07),0.174 (0.00424-1.07),NA
ENSG00000109101,FOXN1,Forkhead box N1,7,10,0,0,3,13,0.0727,1,0.0727,NA,NA,NA,NA,0.0727,1,2.81 (0.908-8.18),2.81 (0.908-8.18),0.926 (0.169-3.37)
ENSG00000136573,BLK,B lymphoid tyrosine kinase,14,32,0,0,0,0,0.0727,NA,0.0727,NA,NA,NA,NA,0.0727,1,1.76 (0.866-3.39),1.76 (0.866-3.39),NA
ENSG00000197879,MYO1C,Myosin IC,16,39,0,0,0,0,0.0728,NA,0.0728,NA,NA,NA,NA,0.0728,1,1.65 (0.859-3.02),1.65 (0.859-3.02),NA
ENSG00000170421,KRT8,Keratin 8,1,22,0,0,0,0,0.0728,NA,0.0728,NA,NA,NA,NA,0.0728,1,0.182 (0.00442-1.13),0.182 (0.00442-1.13),NA
ENSG00000124659,TBCC,Tubulin folding cofactor C,8,14,0,0,0,0,0.0729,NA,0.0729,NA,NA,NA,NA,0.0729,1,2.29 (0.834-5.86),2.29 (0.834-5.86),NA
ENSG00000184708,EIF4ENIF1,Eukaryotic translation initiation factor 4E nuclear import factor 1,4,3,0,0,4,23,0.073,0.684,0.073,NA,NA,NA,NA,0.073,1,5.35 (0.905-36.5),5.35 (0.905-36.5),0.698 (0.175-2.04)
ENSG00000116691,MIIP,Migration and invasion inhibitory protein,3,35,0,0,0,0,0.0733,NA,0.0733,NA,NA,NA,NA,0.0733,1,0.344 (0.0677-1.09),0.344 (0.0677-1.09),NA
ENSG00000066654,THUMPD1,THUMP domain containing 1,0,15,0,0,0,0,0.0733,NA,0.0733,NA,NA,NA,NA,0.0733,1,0 (0-1.12),0 (0-1.12),NA
ENSG00000185686,PRAME,Preferentially expressed antigen in melanoma,15,34,0,0,0,0,0.0734,NA,0.0734,NA,NA,NA,NA,0.0734,1,1.77 (0.896-3.34),1.77 (0.896-3.34),NA
ENSG00000189099,PRSS48,"Protease, serine, 48",11,18,0,0,0,0,0.0734,NA,0.0734,NA,NA,NA,NA,0.0734,1,2.45 (1.05-5.49),2.45 (1.05-5.49),NA
ENSG00000072195,SPEG,SPEG complex locus,13,28,0,0,4,12,0.0857,0.612,0.0734,NA,NA,NA,NA,0.0734,1,1.86 (0.886-3.72),1.86 (0.886-3.72),1.34 (0.314-4.42)
ENSG00000151640,DPYSL4,Dihydropyrimidinase-like 4,3,32,0,0,0,0,0.0734,NA,0.0734,NA,NA,NA,NA,0.0734,1,0.376 (0.0737-1.2),0.376 (0.0737-1.2),NA
ENSG00000170004,CHD3,Chromodomain helicase DNA binding protein 3,7,16,2,4,37,88,0.211,0.0186,0.0737,NA,NA,NA,NA,0.0737,1,1.76 (0.611-4.51),1.81 (0.724-4.15),1.69 (1.12-2.51)
ENSG00000142102,ATHL1,"ATH1, acid trehalase-like 1 (yeast)",4,28,0,0,0,0,0.0738,NA,0.0738,NA,NA,NA,NA,0.0738,1,0.573 (0.146-1.64),0.573 (0.146-1.64),NA
ENSG00000100336,APOL4,"Apolipoprotein L, 4",10,18,0,0,0,0,0.0738,NA,0.0738,NA,NA,NA,NA,0.0738,1,2.23 (0.92-5.1),2.23 (0.92-5.1),NA
ENSG00000181963,OR52K2,"Olfactory receptor, family 52, subfamily K, member 2",7,13,0,0,0,0,0.074,NA,0.074,NA,NA,NA,NA,0.074,1,2.16 (0.73-5.83),2.16 (0.73-5.83),NA
ENSG00000169962,TAS1R3,"Taste receptor, type 1, member 3",16,42,0,0,0,0,0.074,NA,0.074,NA,NA,NA,NA,0.074,1,1.53 (0.803-2.78),1.53 (0.803-2.78),NA
ENSG00000138182,KIF20B,Kinesin family member 20B,19,109,0,0,0,0,0.0741,NA,0.0741,NA,NA,NA,NA,0.0741,1,0.699 (0.405-1.15),0.699 (0.405-1.15),NA
ENSG00000026025,VIM,Vimentin,3,2,0,0,0,0,0.0741,NA,0.0741,NA,NA,NA,NA,0.0741,1,6.02 (0.69-72.2),6.02 (0.69-72.2),NA
ENSG00000178338,ZNF354B,Zinc finger protein 354B,14,25,0,0,0,0,0.0742,NA,0.0742,NA,NA,NA,NA,0.0742,1,2.25 (1.08-4.5),2.25 (1.08-4.5),NA
ENSG00000182315,MBD3L3,Methyl-CpG binding domain protein 3-like 3,2,1,0,0,2,17,0.0742,0.515,0.0742,NA,NA,NA,NA,0.0742,1,8.03 (0.418-472),8.03 (0.418-472),0.472 (0.0529-1.99)
ENSG00000120696,KBTBD7,Kelch repeat and BTB (POZ) domain containing 7,4,42,0,0,1,11,0.0979,0.46,0.0742,NA,NA,NA,NA,0.0742,1,0.382 (0.0995-1.05),0.382 (0.0995-1.05),0.365 (0.00848-2.51)
ENSG00000120832,MTERFD3,MTERF domain containing 3,11,26,0,0,0,0,0.0742,NA,0.0742,NA,NA,NA,NA,0.0742,1,1.7 (0.757-3.56),1.7 (0.757-3.56),NA
ENSG00000204479,PRAMEF17,PRAME family member 17,0,6,0,10,2,5,0.0743,0.652,0.0743,NA,NA,NA,NA,0.0743,1,0 (0-3.41),0 (0-1.04),1.61 (0.153-9.81)
ENSG00000123179,EBPL,Emopamil binding protein-like,0,15,0,0,0,0,0.0743,NA,0.0743,NA,NA,NA,NA,0.0743,1,0 (0-1.12),0 (0-1.12),NA
ENSG00000163138,PACRGL,PARK2 co-regulated-like,11,24,0,0,0,0,0.0744,NA,0.0744,NA,NA,NA,NA,0.0744,1,1.84 (0.813-3.9),1.84 (0.813-3.9),NA
ENSG00000145536,ADAMTS16,"ADAM metallopeptidase with thrombospondin type 1 motif, 16",3,37,0,0,0,0,0.0744,NA,0.0744,NA,NA,NA,NA,0.0744,1,0.325 (0.0642-1.03),0.325 (0.0642-1.03),NA
ENSG00000122970,IFT81,Intraflagellar transport 81 homolog (Chlamydomonas),14,32,0,0,0,0,0.0744,NA,0.0744,NA,NA,NA,NA,0.0744,1,1.76 (0.866-3.39),1.76 (0.866-3.39),NA
ENSG00000072163,LIMS2,LIM and senescent cell antigen-like domains 2,10,15,0,0,0,0,0.0744,NA,0.0744,NA,NA,NA,NA,0.0744,1,2.68 (1.08-6.37),2.68 (1.08-6.37),NA
ENSG00000170190,SLC16A5,"Solute carrier family 16 (monocarboxylate transporter), member 5",1,26,0,0,0,0,0.0746,NA,0.0746,NA,NA,NA,NA,0.0746,1,0.154 (0.00377-0.94),0.154 (0.00377-0.94),NA
ENSG00000165204,OR1K1,"Olfactory receptor, family 1, subfamily K, member 1",6,9,0,0,0,0,0.0746,NA,0.0746,NA,NA,NA,NA,0.0746,1,2.68 (0.784-8.42),2.68 (0.784-8.42),NA
ENSG00000143669,LYST,Lysosomal trafficking regulator,22,52,0,0,0,0,0.0747,NA,0.0747,NA,NA,NA,NA,0.0747,1,1.7 (0.982-2.85),1.7 (0.982-2.85),NA
ENSG00000067955,CBFB,"Core-binding factor, beta subunit",1,0,0,1,0,0,0.0747,NA,0.0747,NA,NA,NA,NA,0.0747,1,Inf (0.103-Inf),4.01 (0.0511-314),NA
ENSG00000198858,R3HDM4,R3H domain containing 4,0,13,0,0,0,0,0.0749,NA,0.0749,NA,NA,NA,NA,0.0749,1,0 (0-1.32),0 (0-1.32),NA
ENSG00000129128,SPCS3,Signal peptidase complex subunit 3 homolog (S. cerevisiae),2,1,0,1,0,2,0.0749,1,0.0749,NA,NA,NA,NA,0.0749,1,8.03 (0.418-472),4.01 (0.291-55.3),0 (0-21.4)
ENSG00000205659,LIN52,Lin-52 homolog (C. elegans),2,1,0,0,0,0,0.0749,NA,0.0749,NA,NA,NA,NA,0.0749,1,8.03 (0.418-472),8.03 (0.418-472),NA
ENSG00000167967,E4F1,E4F transcription factor 1,0,14,0,0,0,0,0.075,NA,0.075,NA,NA,NA,NA,0.075,1,0 (0-1.21),0 (0-1.21),NA
ENSG00000171608,PIK3CD,"Phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta",5,10,0,0,30,71,0.187,0.0401,0.075,NA,NA,NA,NA,0.075,1,2.01 (0.538-6.45),2.01 (0.538-6.45),1.7 (1.07-2.64)
ENSG00000166024,R3HCC1L,R3H domain and coiled-coil containing 1-like,20,44,0,0,0,0,0.075,NA,0.075,NA,NA,NA,NA,0.075,1,1.83 (1.02-3.16),1.83 (1.02-3.16),NA
ENSG00000165046,LETM2,Leucine zipper-EF-hand containing transmembrane protein 2,3,35,0,0,0,0,0.075,NA,0.075,NA,NA,NA,NA,0.075,1,0.344 (0.0677-1.09),0.344 (0.0677-1.09),NA
ENSG00000119725,ZNF410,Zinc finger protein 410,5,4,0,0,0,0,0.0751,NA,0.0751,NA,NA,NA,NA,0.0751,1,5.02 (1.08-25.3),5.02 (1.08-25.3),NA
ENSG00000144233,AMMECR1L,AMMECR1-like,2,1,0,0,3,6,0.107,0.379,0.0752,NA,NA,NA,NA,0.0752,1,8.03 (0.418-472),8.03 (0.418-472),2.01 (0.325-9.4)
ENSG00000128918,ALDH1A2,"Aldehyde dehydrogenase 1 family, member A2",0,14,0,0,0,0,0.0752,NA,0.0752,NA,NA,NA,NA,0.0752,1,0 (0-1.21),0 (0-1.21),NA
ENSG00000010072,SPRTN,SprT-like N-terminal domain,0,14,0,0,0,8,0.107,0.38,0.0753,NA,NA,NA,NA,0.0753,1,0 (0-1.21),0 (0-1.21),0 (0-2.35)
ENSG00000204065,TCEAL5,Transcription elongation factor A (SII)-like 5,1,0,0,0,0,0,0.0753,NA,0.0753,NA,NA,NA,NA,0.0753,1,Inf (0.103-Inf),Inf (0.103-Inf),NA
ENSG00000186790,FOXE3,Forkhead box E3,2,1,0,0,0,0,0.0754,NA,0.0754,NA,NA,NA,NA,0.0754,1,8.03 (0.418-472),8.03 (0.418-472),NA
ENSG00000173275,ZNF449,Zinc finger protein 449,1,0,0,0,0,0,0.0754,NA,0.0754,NA,NA,NA,NA,0.0754,1,Inf (0.103-Inf),Inf (0.103-Inf),NA
ENSG00000197043,ANXA6,Annexin A6,7,13,0,0,0,0,0.0754,NA,0.0754,NA,NA,NA,NA,0.0754,1,2.16 (0.73-5.83),2.16 (0.73-5.83),NA
ENSG00000042753,AP2S1,"Adaptor-related protein complex 2, sigma 1 subunit",1,0,1,1,1,6,0.0754,1,0.0754,NA,NA,NA,NA,0.0754,1,Inf (0.103-Inf),8.03 (0.418-472),0.669 (0.0145-5.51)
ENSG00000118434,SPACA1,Sperm acrosome associated 1,2,1,0,0,0,0,0.0755,NA,0.0755,NA,NA,NA,NA,0.0755,1,8.03 (0.418-472),8.03 (0.418-472),NA
ENSG00000189339,SLC35E2B,"Solute carrier family 35, member E2B",2,1,0,0,0,0,0.0755,NA,0.0755,NA,NA,NA,NA,0.0755,1,8.03 (0.418-472),8.03 (0.418-472),NA
ENSG00000204619,PPP1R11,"Protein phosphatase 1, regulatory (inhibitor) subunit 11",2,1,0,0,2,12,0.0757,1,0.0757,NA,NA,NA,NA,0.0757,1,8.03 (0.418-472),8.03 (0.418-472),0.669 (0.0727-3)
ENSG00000204386,NEU1,Sialidase 1 (lysosomal sialidase),12,21,0,0,0,0,0.0757,NA,0.0757,NA,NA,NA,NA,0.0757,1,2.29 (1.03-4.88),2.29 (1.03-4.88),NA
ENSG00000100650,SRSF5,Serine/arginine-rich splicing factor 5,3,4,0,0,7,14,0.139,0.163,0.0758,NA,NA,NA,NA,0.0758,1,3.01 (0.441-17.8),3.01 (0.441-17.8),2.01 (0.685-5.31)
ENSG00000132952,USPL1,Ubiquitin specific peptidase like 1,13,24,0,0,0,0,0.0758,NA,0.0758,NA,NA,NA,NA,0.0758,1,2.17 (1.02-4.44),2.17 (1.02-4.44),NA
ENSG00000212916,MAP10,Microtubule-associated protein 10,14,92,0,0,0,0,0.0758,NA,0.0758,NA,NA,NA,NA,0.0758,1,0.611 (0.321-1.08),0.611 (0.321-1.08),NA
ENSG00000166401,SERPINB8,"Serpin peptidase inhibitor, clade B (ovalbumin), member 8",9,14,0,0,0,0,0.0759,NA,0.0759,NA,NA,NA,NA,0.0759,1,2.58 (0.985-6.4),2.58 (0.985-6.4),NA
ENSG00000166984,TCP10L2,T-complex 10-like 2,2,3,3,3,10,46,0.0759,0.864,0.0759,NA,NA,NA,NA,0.0759,1,2.68 (0.223-23.4),3.35 (0.808-13.2),0.872 (0.393-1.75)
ENSG00000004939,SLC4A1,"Solute carrier family 4 (anion exchanger), member 1 (Diego blood group)",5,3,0,0,0,0,0.076,NA,0.076,NA,NA,NA,NA,0.076,1,6.69 (1.3-43.1),6.69 (1.3-43.1),NA
ENSG00000089693,MLF2,Myeloid leukemia factor 2,4,4,0,0,7,27,0.0761,0.867,0.0761,NA,NA,NA,NA,0.0761,1,4.01 (0.748-21.6),4.01 (0.748-21.6),1.04 (0.383-2.45)
ENSG00000106483,SFRP4,Secreted frizzled-related protein 4,7,12,0,0,0,0,0.0761,NA,0.0761,NA,NA,NA,NA,0.0761,1,2.34 (0.781-6.45),2.34 (0.781-6.45),NA
ENSG00000050438,SLC4A8,"Solute carrier family 4, sodium bicarbonate cotransporter, member 8",7,15,0,0,6,10,0.167,0.0769,0.0762,NA,NA,NA,NA,0.0762,1,1.87 (0.646-4.88),1.87 (0.646-4.88),2.41 (0.719-7.31)
ENSG00000115423,DNAH6,"Dynein, axonemal, heavy chain 6",18,26,0,0,0,0,0.0764,NA,0.0764,NA,NA,NA,NA,0.0764,1,2.78 (1.44-5.27),2.78 (1.44-5.27),NA
ENSG00000171819,ANGPTL7,Angiopoietin-like 7,7,12,0,0,0,0,0.0764,NA,0.0764,NA,NA,NA,NA,0.0764,1,2.34 (0.781-6.45),2.34 (0.781-6.45),NA
ENSG00000132881,RSG1,REM2 and RAB-like small GTPase 1,5,7,0,0,0,0,0.0765,NA,0.0765,NA,NA,NA,NA,0.0765,1,2.87 (0.718-10.5),2.87 (0.718-10.5),NA
ENSG00000196917,HCAR1,Hydroxycarboxylic acid receptor 1,8,15,0,0,0,0,0.0765,NA,0.0765,NA,NA,NA,NA,0.0765,1,2.14 (0.786-5.38),2.14 (0.786-5.38),NA
ENSG00000047644,WWC3,WWC family member 3,4,5,0,0,0,0,0.0766,NA,0.0766,NA,NA,NA,NA,0.0766,1,3.21 (0.637-14.9),3.21 (0.637-14.9),NA
ENSG00000062725,APPBP2,Amyloid beta precursor protein (cytoplasmic tail) binding protein 2,4,5,0,0,3,10,0.0766,0.866,0.0766,NA,NA,NA,NA,0.0766,1,3.21 (0.637-14.9),3.21 (0.637-14.9),1.61 (0.368-5.57)
ENSG00000113100,CDH9,"Cadherin 9, type 2 (T1-cadherin)",4,5,0,0,0,0,0.0767,NA,0.0767,NA,NA,NA,NA,0.0767,1,3.21 (0.637-14.9),3.21 (0.637-14.9),NA
ENSG00000146281,PM20D2,Peptidase M20 domain containing 2,11,14,0,0,2,2,0.0859,0.668,0.0767,NA,NA,NA,NA,0.0767,1,3.15 (1.3-7.48),3.15 (1.3-7.48),4.01 (0.291-55.3)
ENSG00000150776,C11orf57,Chromosome 11 open reading frame 57,1,14,0,0,0,0,0.0769,NA,0.0769,NA,NA,NA,NA,0.0769,1,0.287 (0.00678-1.88),0.287 (0.00678-1.88),NA
ENSG00000104960,PTOV1,Prostate tumor overexpressed 1,0,17,0,0,0,0,0.077,NA,0.077,NA,NA,NA,NA,0.077,1,0 (0-0.973),0 (0-0.973),NA
ENSG00000169490,TM2D2,TM2 domain containing 2,6,7,3,5,0,6,0.077,0.561,0.077,NA,NA,NA,NA,0.077,1,3.44 (0.955-12),3.01 (1.12-7.79),0 (0-3.41)
ENSG00000111249,CUX2,Cut-like homeobox 2,3,4,0,0,2,2,0.127,0.239,0.0771,NA,NA,NA,NA,0.0771,1,3.01 (0.441-17.8),3.01 (0.441-17.8),4.01 (0.291-55.3)
ENSG00000139644,TMBIM6,Transmembrane BAX inhibitor motif containing 6,6,10,0,0,0,0,0.0772,NA,0.0772,NA,NA,NA,NA,0.0772,1,2.41 (0.719-7.31),2.41 (0.719-7.31),NA
ENSG00000234829,IFNA17,"Interferon, alpha 17",4,6,0,0,0,0,0.0772,NA,0.0772,NA,NA,NA,NA,0.0772,1,2.68 (0.555-11.3),2.68 (0.555-11.3),NA
ENSG00000111653,ING4,"Inhibitor of growth family, member 4",2,3,0,0,4,5,0.133,0.207,0.0774,NA,NA,NA,NA,0.0774,1,2.68 (0.223-23.4),2.68 (0.223-23.4),3.21 (0.637-14.9)
ENSG00000008441,NFIX,Nuclear factor I/X (CCAAT-binding transcription factor),2,1,1,0,14,32,0.147,0.141,0.0774,NA,NA,NA,NA,0.0774,1,8.03 (0.418-472),12 (0.967-630),1.76 (0.866-3.39)
ENSG00000171160,MORN4,MORN repeat containing 4,6,9,0,0,0,0,0.0775,NA,0.0775,NA,NA,NA,NA,0.0775,1,2.68 (0.784-8.42),2.68 (0.784-8.42),NA
ENSG00000187800,PEAR1,Platelet endothelial aggregation receptor 1,25,60,0,0,0,0,0.0775,NA,0.0775,NA,NA,NA,NA,0.0775,1,1.67 (1-2.71),1.67 (1-2.71),NA
ENSG00000116584,ARHGEF2,Rho/Rac guanine nucleotide exchange factor (GEF) 2,3,3,0,0,22,92,0.0776,1,0.0776,NA,NA,NA,NA,0.0776,1,4.01 (0.538-30),4.01 (0.538-30),0.96 (0.574-1.54)
ENSG00000204463,BAG6,BCL2-associated athanogene 6,5,9,0,0,13,33,0.131,0.22,0.0776,NA,NA,NA,NA,0.0776,1,2.23 (0.587-7.41),2.23 (0.587-7.41),1.58 (0.764-3.09)
ENSG00000248712,CCDC153,Coiled-coil domain containing 153,5,6,0,0,0,0,0.0777,NA,0.0777,NA,NA,NA,NA,0.0777,1,3.35 (0.808-13.2),3.35 (0.808-13.2),NA
ENSG00000066056,TIE1,Tyrosine kinase with immunoglobulin-like and EGF-like domains 1,20,48,0,0,0,0,0.0778,NA,0.0778,NA,NA,NA,NA,0.0778,1,1.67 (0.94-2.87),1.67 (0.94-2.87),NA
ENSG00000135521,LTV1,LTV1 homolog (S. cerevisiae),4,37,0,0,0,0,0.0778,NA,0.0778,NA,NA,NA,NA,0.0778,1,0.434 (0.112-1.21),0.434 (0.112-1.21),NA
ENSG00000137675,MMP27,Matrix metallopeptidase 27,15,36,0,0,0,0,0.0778,NA,0.0778,NA,NA,NA,NA,0.0778,1,1.67 (0.851-3.13),1.67 (0.851-3.13),NA
ENSG00000183828,NUDT14,Nudix (nucleoside diphosphate linked moiety X)-type motif 14,0,18,0,0,0,0,0.0779,NA,0.0779,NA,NA,NA,NA,0.0779,1,0 (0-0.913),0 (0-0.913),NA
ENSG00000138079,SLC3A1,"Solute carrier family 3 (amino acid transporter heavy chain), member 1",25,62,0,0,0,0,0.0779,NA,0.0779,NA,NA,NA,NA,0.0779,1,1.62 (0.975-2.62),1.62 (0.975-2.62),NA
ENSG00000112561,TFEB,Transcription factor EB,3,4,0,0,0,0,0.0779,NA,0.0779,NA,NA,NA,NA,0.0779,1,3.01 (0.441-17.8),3.01 (0.441-17.8),NA
ENSG00000183134,PTGDR2,Prostaglandin D2 receptor 2,3,3,0,0,10,33,0.0873,0.669,0.078,NA,NA,NA,NA,0.078,1,4.01 (0.538-30),4.01 (0.538-30),1.22 (0.535-2.53)
ENSG00000187151,ANGPTL5,Angiopoietin-like 5,11,21,0,0,0,0,0.078,NA,0.078,NA,NA,NA,NA,0.078,1,2.1 (0.915-4.56),2.1 (0.915-4.56),NA
ENSG00000144283,PKP4,Plakophilin 4,16,40,0,0,0,0,0.0781,NA,0.0781,NA,NA,NA,NA,0.0781,1,1.61 (0.839-2.93),1.61 (0.839-2.93),NA
ENSG00000085982,USP40,Ubiquitin specific peptidase 40,24,61,0,0,0,0,0.0782,NA,0.0782,NA,NA,NA,NA,0.0782,1,1.58 (0.942-2.57),1.58 (0.942-2.57),NA
ENSG00000188191,PRKAR1B,"Protein kinase, cAMP-dependent, regulatory, type I, beta",2,3,1,0,5,17,0.08,0.794,0.0782,NA,NA,NA,NA,0.0782,1,2.68 (0.223-23.4),4.01 (0.538-30),1.18 (0.34-3.33)
ENSG00000157510,AFAP1L1,Actin filament associated protein 1-like 1,4,41,0,0,0,0,0.0783,NA,0.0783,NA,NA,NA,NA,0.0783,1,0.391 (0.102-1.08),0.391 (0.102-1.08),NA
ENSG00000197961,ZNF121,Zinc finger protein 121,4,6,0,0,0,0,0.0783,NA,0.0783,NA,NA,NA,NA,0.0783,1,2.68 (0.555-11.3),2.68 (0.555-11.3),NA
ENSG00000175727,MLXIP,MLX interacting protein,4,4,0,0,0,0,0.0783,NA,0.0783,NA,NA,NA,NA,0.0783,1,4.01 (0.748-21.6),4.01 (0.748-21.6),NA
ENSG00000137573,SULF1,Sulfatase 1,10,16,0,0,0,0,0.0783,NA,0.0783,NA,NA,NA,NA,0.0783,1,2.51 (1.02-5.88),2.51 (1.02-5.88),NA
ENSG00000099341,PSMD8,"Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",4,4,0,0,0,0,0.0784,NA,0.0784,NA,NA,NA,NA,0.0784,1,4.01 (0.748-21.6),4.01 (0.748-21.6),NA
ENSG00000105755,ETHE1,Ethylmalonic encephalopathy 1,6,11,0,0,1,0,0.14,0.18,0.0784,NA,NA,NA,NA,0.0784,1,2.19 (0.665-6.46),2.19 (0.665-6.46),Inf (0.103-Inf)
ENSG00000143393,PI4KB,"Phosphatidylinositol 4-kinase, catalytic, beta",0,13,0,0,20,55,0.0786,0.14,0.0786,NA,NA,NA,NA,0.0786,1,0 (0-1.32),0 (0-1.32),1.46 (0.829-2.48)
ENSG00000182149,IST1,Increased sodium tolerance 1 homolog (yeast),2,25,0,0,0,0,0.0787,NA,0.0787,NA,NA,NA,NA,0.0787,1,0.321 (0.0369-1.29),0.321 (0.0369-1.29),NA
ENSG00000130734,ATG4D,"Autophagy related 4D, cysteine peptidase",14,28,0,0,0,0,0.0788,NA,0.0788,NA,NA,NA,NA,0.0788,1,2.01 (0.976-3.94),2.01 (0.976-3.94),NA
ENSG00000140557,ST8SIA2,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",6,5,0,0,0,2,0.0788,1,0.0788,NA,NA,NA,NA,0.0788,1,4.82 (1.22-20),4.82 (1.22-20),0 (0-21.4)
ENSG00000171861,RNMTL1,RNA methyltransferase like 1,13,28,0,0,0,0,0.0788,NA,0.0788,NA,NA,NA,NA,0.0788,1,1.86 (0.886-3.72),1.86 (0.886-3.72),NA
ENSG00000077498,TYR,Tyrosinase,22,52,0,0,0,0,0.079,NA,0.079,NA,NA,NA,NA,0.079,1,1.7 (0.982-2.85),1.7 (0.982-2.85),NA
ENSG00000186493,C5orf38,Chromosome 5 open reading frame 38,0,15,0,0,0,0,0.079,NA,0.079,NA,NA,NA,NA,0.079,1,0 (0-1.12),0 (0-1.12),NA
ENSG00000106603,COA1,Cytochrome c oxidase assembly factor 1 homolog (S. cerevisiae),0,15,0,0,0,0,0.0791,NA,0.0791,NA,NA,NA,NA,0.0791,1,0 (0-1.12),0 (0-1.12),NA
ENSG00000155366,RHOC,Ras homolog family member C,2,4,0,0,10,11,0.238,0.0124,0.0791,NA,NA,NA,NA,0.0791,1,2.01 (0.182-14),2.01 (0.182-14),3.65 (1.39-9.47)
ENSG00000071909,MYO3B,Myosin IIIB,32,87,0,0,0,0,0.0791,NA,0.0791,NA,NA,NA,NA,0.0791,1,1.48 (0.952-2.24),1.48 (0.952-2.24),NA
ENSG00000070367,EXOC5,Exocyst complex component 5,2,1,0,0,0,0,0.0791,NA,0.0791,NA,NA,NA,NA,0.0791,1,8.03 (0.418-472),8.03 (0.418-472),NA
ENSG00000167264,DUS2,Dihydrouridine synthase 2,12,25,0,0,0,0,0.0792,NA,0.0792,NA,NA,NA,NA,0.0792,1,1.93 (0.882-3.98),1.93 (0.882-3.98),NA
ENSG00000042062,FAM65C,"Family with sequence similarity 65, member C",19,46,0,0,0,0,0.0792,NA,0.0792,NA,NA,NA,NA,0.0792,1,1.66 (0.917-2.89),1.66 (0.917-2.89),NA
ENSG00000140368,PSTPIP1,Proline-serine-threonine phosphatase interacting protein 1,0,16,0,0,0,0,0.0793,NA,0.0793,NA,NA,NA,NA,0.0793,1,0 (0-1.04),0 (0-1.04),NA
ENSG00000189134,NKAPL,NFKB activating protein-like,11,20,0,0,0,0,0.0793,NA,0.0793,NA,NA,NA,NA,0.0793,1,2.21 (0.955-4.83),2.21 (0.955-4.83),NA
ENSG00000186297,GABRA5,"Gamma-aminobutyric acid (GABA) A receptor, alpha 5",4,5,0,0,5,27,0.0793,0.651,0.0793,NA,NA,NA,NA,0.0793,1,3.21 (0.637-14.9),3.21 (0.637-14.9),0.743 (0.223-1.96)
ENSG00000169193,CCDC126,Coiled-coil domain containing 126,2,2,0,0,0,0,0.0793,NA,0.0793,NA,NA,NA,NA,0.0793,1,4.01 (0.291-55.3),4.01 (0.291-55.3),NA
ENSG00000136802,LRRC8A,"Leucine rich repeat containing 8 family, member A",6,8,0,0,24,98,0.0794,1,0.0794,NA,NA,NA,NA,0.0794,1,3.01 (0.861-9.9),3.01 (0.861-9.9),0.983 (0.601-1.55)
